SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPHARMA,20170623,9476.05,9541.20,9409.15,9478.15,12032103,0,0
NIFTYPHARMA,20170627,9510.45,9575.50,9399.55,9467.90,15462023,0,0
NIFTYPHARMA,20170628,9458.70,9498.40,9402.60,9482.35,11668439,0,0
NIFTYPHARMA,20170629,9502.55,9513.80,9408.40,9428.20,18110906,0,0
NIFTYPHARMA,20170630,9436.85,9632.20,9420.75,9606.40,13926952,0,0
NIFTYPHARMA,20170703,9637.60,9648.15,9563.45,9616.30,7015454,0,0
NIFTYPHARMA,20170704,9656.20,9659.20,9497.60,9517.95,7012663,0,0
NIFTYPHARMA,20170705,9518.95,9612.15,9498.95,9589.15,13808865,0,0
NIFTYPHARMA,20170706,9627.00,9661.70,9580.10,9598.45,11527540,0,0
NIFTYPHARMA,20170707,9614.80,9778.10,9611.80,9723.85,17732268,0,0
NIFTYPHARMA,20170710,9782.75,9919.50,9705.30,9884.45,4077405,0,0
NIFTYPHARMA,20170711,9911.15,9948.75,9782.50,9801.65,12498916,0,0
NIFTYPHARMA,20170712,9825.65,9859.55,9775.90,9817.80,7806016,0,0
NIFTYPHARMA,20170713,9827.05,9910.35,9820.10,9875.25,10332836,0,0
NIFTYPHARMA,20170714,9897.95,9994.65,9875.40,9958.25,16566583,0,0
NIFTYPHARMA,20170717,9993.85,10020.35,9933.00,9994.75,12191401,0,0
NIFTYPHARMA,20170718,9983.05,10096.80,9968.95,10024.30,9454740,0,0
NIFTYPHARMA,20170719,10128.50,10245.45,10118.60,10234.60,19344385,0,0
NIFTYPHARMA,20170720,10256.05,10259.65,10125.15,10140.75,7281445,0,0
NIFTYPHARMA,20170721,10130.65,10130.65,9992.35,10052.40,9524622,0,0
NIFTYPHARMA,20170724,10079.85,10092.00,9964.70,9980.50,9552375,0,0
NIFTYPHARMA,20170725,9987.10,10003.00,9907.80,9930.55,10771319,0,0
NIFTYPHARMA,20170726,9963.65,10044.35,9920.00,10036.80,7996388,0,0
NIFTYPHARMA,20170727,10051.60,10059.70,9845.95,9880.25,17771812,0,0
NIFTYPHARMA,20170728,9821.25,9821.25,9641.15,9672.60,17150320,0,0
NIFTYPHARMA,20170731,9707.95,9707.95,9456.70,9476.40,17258093,0,0
NIFTYPHARMA,20170801,9488.90,9602.25,9482.35,9517.30,14167412,0,0
NIFTYPHARMA,20170802,9555.10,9557.45,9434.30,9453.95,15022425,0,0
NIFTYPHARMA,20170803,9481.70,9566.45,9308.40,9336.90,20164169,0,0
NIFTYPHARMA,20170804,9285.80,9287.90,9104.20,9256.85,18648519,0,0
NIFTYPHARMA,20170807,9280.55,9323.05,9210.45,9229.05,8101854,0,0
NIFTYPHARMA,20170808,9240.05,9264.70,9109.35,9125.85,10151298,0,0
NIFTYPHARMA,20170809,9070.15,9076.20,8714.90,8766.25,25645803,0,0
NIFTYPHARMA,20170810,8757.30,8917.55,8390.60,8513.20,28282854,0,0
NIFTYPHARMA,20170811,8445.25,8604.80,8314.50,8521.35,28479070,0,0
NIFTYPHARMA,20170814,8494.05,8786.35,8483.65,8758.10,31831102,0,0
NIFTYPHARMA,20170816,8807.95,8870.05,8679.20,8859.40,16687469,0,0
NIFTYPHARMA,20170817,8881.55,8909.70,8779.50,8797.10,11664999,0,0
NIFTYPHARMA,20170818,8758.95,8758.95,8576.85,8639.40,11988307,0,0
NIFTYPHARMA,20170821,8691.80,8696.85,8468.70,8490.20,10728505,0,0
NIFTYPHARMA,20170822,8555.15,8630.50,8494.55,8566.65,12167832,0,0
NIFTYPHARMA,20170823,8619.15,8641.70,8580.85,8615.85,10757062,0,0
NIFTYPHARMA,20170824,8637.10,8921.40,8615.80,8902.05,23177987,0,0
NIFTYPHARMA,20170828,8949.30,9031.35,8896.80,8975.05,17136665,0,0
NIFTYPHARMA,20170829,8948.30,8956.00,8845.65,8865.05,9272725,0,0
NIFTYPHARMA,20170830,8937.95,8987.15,8894.60,8908.05,9043167,0,0
NIFTYPHARMA,20170831,8928.20,8939.50,8841.15,8859.65,13219581,0,0
NIFTYPHARMA,20170901,8936.85,9088.90,8925.40,9071.70,16245064,0,0
NIFTYPHARMA,20170904,9093.95,9120.35,8929.40,9070.35,13845003,0,0
NIFTYPHARMA,20170905,9126.75,9127.65,9003.95,9037.60,10830912,0,0
