SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPSE,19971223,765.52,765.52,765.52,765.52,-,0,0
NIFTYPSE,19971224,776.07,776.07,776.07,776.07,-,0,0
NIFTYPSE,19971226,-,-,-,768.06,-,0,0
NIFTYPSE,19971229,-,-,-,769.60,-,0,0
NIFTYPSE,19971230,-,-,-,758.34,-,0,0
NIFTYPSE,19971231,-,-,-,777.55,-,0,0
NIFTYPSE,19980101,-,-,-,778.15,-,0,0
NIFTYPSE,19980102,-,-,-,790.03,-,0,0
NIFTYPSE,19980105,-,-,-,796.53,-,0,0
NIFTYPSE,19980106,-,-,-,781.87,-,0,0
NIFTYPSE,19980107,-,-,-,778.98,-,0,0
NIFTYPSE,19980108,-,-,-,765.10,-,0,0
NIFTYPSE,19980109,-,-,-,734.94,-,0,0
NIFTYPSE,19980112,-,-,-,721.29,-,0,0
NIFTYPSE,19980113,-,-,-,723.69,-,0,0
NIFTYPSE,19980114,-,-,-,721.22,-,0,0
NIFTYPSE,19980115,-,-,-,702.10,-,0,0
NIFTYPSE,19980116,-,-,-,702.34,-,0,0
NIFTYPSE,19980119,-,-,-,720.19,-,0,0
NIFTYPSE,19980120,-,-,-,717.73,-,0,0
NIFTYPSE,19980121,-,-,-,708.36,-,0,0
NIFTYPSE,19980122,-,-,-,698.12,-,0,0
NIFTYPSE,19980123,-,-,-,683.82,-,0,0
NIFTYPSE,19980127,-,-,-,683.58,-,0,0
NIFTYPSE,19980128,-,-,-,668.88,-,0,0
NIFTYPSE,19980129,663.86,663.86,663.86,663.86,-,0,0
NIFTYPSE,19980202,-,-,-,675.32,-,0,0
NIFTYPSE,19980203,-,-,-,681.13,-,0,0
NIFTYPSE,19980204,-,-,-,676.15,-,0,0
NIFTYPSE,19980205,-,-,-,677.34,-,0,0
NIFTYPSE,19980206,-,-,-,684.28,-,0,0
NIFTYPSE,19980209,-,-,-,679.84,-,0,0
NIFTYPSE,19980210,-,-,-,670.73,-,0,0
NIFTYPSE,19980211,-,-,-,674.54,-,0,0
NIFTYPSE,19980212,-,-,-,670.59,-,0,0
NIFTYPSE,19980213,-,-,-,670.49,-,0,0
NIFTYPSE,19980217,-,-,-,670.18,-,0,0
NIFTYPSE,19980218,-,-,-,675.54,-,0,0
NIFTYPSE,19980219,-,-,-,678.36,-,0,0
NIFTYPSE,19980220,-,-,-,675.28,-,0,0
NIFTYPSE,19980223,-,-,-,689.18,-,0,0
NIFTYPSE,19980224,-,-,-,704.55,-,0,0
NIFTYPSE,19980226,-,-,-,729.07,-,0,0
NIFTYPSE,19980227,-,-,-,735.59,-,0,0
NIFTYPSE,19980302,-,-,-,742.39,-,0,0
NIFTYPSE,19980303,-,-,-,705.57,-,0,0
